Titre,Note,URL,Tags,Commentaire
Ristorante National,Restaurant chic Italien,https://www.google.com/maps/place/Ristorante+National/data=!4m2!3m1!1s0x47e66e1a7a409275:0x78452b748da69265,,
Le 404,A tester ,https://www.google.com/maps/place/Le+404/data=!4m2!3m1!1s0x47e66e1af1f8d533:0x31bf6e84f792f26a,,
Brasserie Croix de Chavaux,Brasserie anniversaire Lisa ,https://www.google.com/maps/place/Brasserie+Croix+de+Chavaux/data=!4m2!3m1!1s0x47e66d677c1f0b4b:0x8a6dc0ca146bfd0c,,
Suan Thaï,,https://www.google.com/maps/place/Suan+Tha%C3%AF/data=!4m2!3m1!1s0x47e66e1ce3c1ced7:0xeab3422d58b6ed53,,
Sushi-B Paris,Recommandé par Xavier Tual!!,https://www.google.com/maps/place/Sushi-B+Paris/data=!4m2!3m1!1s0x47e66e3b18a79ef5:0xe0fdff76aef8cd81,,
Ebis,Super resto a tester,https://www.google.com/maps/place/Ebis/data=!4m2!3m1!1s0x47e66e2fc74d1fa5:0xea49a947fc7f0615,,
Chimère,,https://www.google.com/maps/place/Chim%C3%A8re/data=!4m2!3m1!1s0x47e66f1bcc57d051:0x8fca11ae046e454a,,
L'Auberge Café,,https://www.google.com/maps/place/L'Auberge+Caf%C3%A9/data=!4m2!3m1!1s0x47e66e1f87895843:0x832d06627856772b,,
Siam Bangkok,Restaurant à tester ,https://www.google.com/maps/place/Siam+Bangkok/data=!4m2!3m1!1s0x47e66e3efc6ee58d:0x7d5759337e4bdc21,,
BRIQUE MACHINE - Brique House,Grand resto pr match ,https://www.google.com/maps/place/BRIQUE+MACHINE+-+Brique+House/data=!4m2!3m1!1s0x47e66f33296b3b4d:0x87aa131a435c9d1d,,
JJAN!,Coréen proche de st laz/ plat fromage poulet pr 2- gino- ,https://www.google.com/maps/place/JJAN!/data=!4m2!3m1!1s0x47e66f6dcf5b706b:0x28da6591635c7376,,
Yichiban いちばん 一番拉面馆,Resto bus chinois,https://www.google.com/maps/place/Yichiban+%E3%81%84%E3%81%A1%E3%81%B0%E3%82%93+%E4%B8%80%E7%95%AA%E6%8B%89%E9%9D%A2%E9%A6%86/data=!4m2!3m1!1s0x47e66f5ef1dd932b:0x4d551536a2da08f3,,
Dar Mima,Resto rooftop Marocain - vu a l Aeroport,https://www.google.com/maps/place/Dar+Mima/data=!4m2!3m1!1s0x47e6711524213ba9:0x83e8f142bcd90fa2,,
Atelier du veau,Kébab gastro,https://www.google.com/maps/place/Atelier+du+veau/data=!4m2!3m1!1s0x47e66f634d534d33:0x252ea80e137a4146,,
Loup,Loup,https://www.google.com/maps/place/Loup/data=!4m2!3m1!1s0x47e66e22fc769a23:0x71969504a1fe3282,,
Le Grand Colbert,Grand Colbert,https://www.google.com/maps/place/Le+Grand+Colbert/data=!4m2!3m1!1s0x47e66e3b5a9db2a5:0xf08fff6ce3ae3440,,
Kodawari Ramen (Tsukiji),Kodawari proche de la maison,https://www.google.com/maps/place/Kodawari+Ramen+(Tsukiji)/data=!4m2!3m1!1s0x47e66ff5e668ed99:0x17f9a41c53f5e4ce,,
Le Tambour,,https://www.google.com/maps/place/Le+Tambour/data=!4m2!3m1!1s0x47e66e22a42f583b:0xb74d880225da3d3c,,
Le Général,Reco Uber ,https://www.google.com/maps/place/Le+G%C3%A9n%C3%A9ral/data=!4m2!3m1!1s0x47e66feb68c06aad:0xdd6d0096a2715d1c,,
Pendino,Pizza bonne deux de bois ,https://www.google.com/maps/place/Pendino/data=!4m2!3m1!1s0x47e66f5664204aa1:0xf9b209e62a0d1da0,,
Kodawari Ramen (Yokochō),Décor de marche aux poissons??,https://www.google.com/maps/place/Kodawari+Ramen+(Yokoch%C5%8D)/data=!4m2!3m1!1s0x47e671d8cee50be3:0xe73cffb0381b3105,,
Jòia Bun par Hélène Darroze,Restau burger Hélène Daroze,https://www.google.com/maps/place/J%C3%B2ia+Bun+par+H%C3%A9l%C3%A8ne+Darroze/data=!4m2!3m1!1s0x47e66f7657d602e3:0x1db7f116d0ceb5f4,,
Zaza par Yoni Saada,Petit coin a tester,https://www.google.com/maps/place/Zaza+par+Yoni+Saada/data=!4m2!3m1!1s0x47e66f7ca7fda8a9:0x7545fcca6b6884e9,,
Café Blanc,,https://www.google.com/maps/place/Caf%C3%A9+Blanc/data=!4m2!3m1!1s0x47e66e238a84fed7:0xd2fba524a772aa45,,
Brasserie Dubillot,,https://www.google.com/maps/place/Brasserie+Dubillot/data=!4m2!3m1!1s0x47e66f51538a2d07:0x335b77240e40e03d,,
La Mezcaleria Paris,,https://www.google.com/maps/place/La+Mezcaleria+Paris/data=!4m2!3m1!1s0x47e66e07a576faad:0x38bd3ab365cec321,,
Moonshiner,,https://www.google.com/maps/place/Moonshiner/data=!4m2!3m1!1s0x47e67200a0803e75:0xa2afeb4b6ec09fea,,
Le 1905,,https://www.google.com/maps/place/Le+1905/data=!4m2!3m1!1s0x47e671ffaefc68e5:0xcb2d0beb37347cb1,,
LA JAJA,,https://www.google.com/maps/place/LA+JAJA/data=!4m2!3m1!1s0x47e66e22c9439aa1:0x3ac019a9001c9475,,
Griffon,Proche Félix ,https://www.google.com/maps/place/Griffon/data=!4m2!3m1!1s0x47e66fe5e4ba661f:0xb09f00e2b3ccca5e,,
Les 4 soupes,,https://www.google.com/maps/place/Les+4+soupes/data=!4m2!3m1!1s0x47e671456d4bea25:0x834ef5cdfed10132,,
Restaurant Thaïlandais Baan Issan,,https://www.google.com/maps/place/Restaurant+Tha%C3%AFlandais+Baan+Issan/data=!4m2!3m1!1s0x47e6718d7a0cc479:0xc73f1518cab66bef,,
Le Village,To test ,https://www.google.com/maps/place/Le+Village/data=!4m2!3m1!1s0x47e66e32d743e579:0xdbe5389313417a11,,
Cheper,A tester!!,https://www.google.com/maps/place/Cheper/data=!4m2!3m1!1s0x47e66e031027e0c3:0x58d8c166e6bd0acc,,
Fabula,"A tester, dans le musée Carnavalet",https://www.google.com/maps/place/Fabula/data=!4m2!3m1!1s0x47e66f0afa44fb21:0xdb81841dffb69d51,,
Clark Hot Dog,Hot dogs Marais,https://www.google.com/maps/place/Clark+Hot+Dog/data=!4m2!3m1!1s0x47e671fdf71a7f21:0xa6eaa484a9798514,,
Le Petit Dakar,,https://www.google.com/maps/place/Le+Petit+Dakar/data=!4m2!3m1!1s0x47e66e0229662ce3:0x6db4895eac1a0c8f,,
Miznon Marais,,https://www.google.com/maps/place/Miznon+Marais/data=!4m2!3m1!1s0x47e66e025df684a3:0xecc075dfcafa5f2e,,
